payment_id,order_id,payment_status,cashback_applied
8393823,252656,Success,0
3585136,110431,Success,0
8871214,945411,Success,0
3488697,172961,Success,0
6695502,454737,Failed,0
9485735,521161,Success,0
2075235,272306,Success,0
4017864,164454,Success,0
3609726,896070,Success,0
6312637,792244,Success,0
1672820,772625,Success,0
6758647,702466,Success,0
7463881,762288,Success,0
7613627,937886,Success,1
9955283,645027,Success,0
5726937,539673,Success,1
5273533,813944,Success,0
9508283,680502,Success,0
3473513,419105,Success,0
5150774,878774,Success,0
9144797,460875,Success,0
5179267,967176,Success,0
4147850,653429,Success,1
8572723,253995,Success,0
2280254,523559,Success,0
4125710,775156,Success,0
2673186,670871,Success,0
3180882,926636,Success,1
2418284,783710,Success,0
2442046,831351,Success,0
1790983,780271,Success,0
3000277,913066,Success,0
9907289,416178,Success,0
8682112,138766,Success,0
9615314,450741,Success,0
1704032,860321,Success,0
4954493,876000,Success,0
6815916,232126,Success,0
7978124,667059,Success,0
1838804,324116,Success,0
2240405,636526,Success,0
8623811,427420,Success,1
1830199,457259,Success,0
9132441,766564,Success,1
5888009,124559,Success,0
1604880,935294,Success,0
4783854,721285,Success,0
3534208,353063,Success,0
6914334,911763,Success,0
2737599,861800,Success,0
5224824,629818,Success,0
6955234,867543,Success,0
3989746,982464,Success,0
6340849,372374,Success,0
2835292,632151,Success,0
9287806,229827,Success,0
2711673,893310,Success,0
3896812,230809,Success,0
3944449,412434,Success,0
3384125,872652,Success,0
9258248,575159,Success,0
7506379,347565,Failed,0
5270257,881984,Success,1
5190501,693071,Success,0
4696222,758237,Success,0
8623625,659193,Success,0
4049894,724478,Success,1
3743909,467355,Failed,0
1360106,398357,Success,0
7051819,922911,Success,0
5853000,849579,Success,0
3510769,805097,Success,0
3421656,849051,Success,0
2895605,644909,Success,0
7302872,359662,Success,0
3955265,443772,Success,0
7323067,962813,Success,0
6377143,478816,Success,0
5373368,202747,Success,0
7417287,846209,Success,0
4227225,968679,Success,1
4276568,185927,Success,0
1025295,165214,Success,0
4279979,236381,Success,0
4394981,325217,Success,0
5863660,181865,Success,1
5939676,809699,Success,0
6067422,522317,Success,0
8429263,686120,Success,0
1310742,916656,Success,0
6112575,376502,Success,0
9425574,623058,Success,0
9700075,543990,Success,0
9373437,822487,Success,0
9532465,613321,Success,0
6546440,537174,Success,0
1197024,630354,Success,1
5545990,608312,Success,0
8795112,579946,Success,0
1349126,838747,Success,0
3788542,654844,Success,0
1173214,828205,Success,0
7277883,577555,Success,0
7333787,134191,Success,0
9514216,264458,Success,0
6861302,487272,Success,0
2197414,224535,Success,0
6254989,993719,Success,1
4178720,487538,Success,0
8519465,403657,Success,0
9335511,223461,Success,1
5318097,419736,Success,0
4047737,417991,Success,0
7664932,609529,Success,0
8166197,929637,Success,0
4509845,249044,Success,0
3683655,718265,Success,0
6310532,151014,Success,0
7947694,419987,Success,0
4911967,397252,Success,0
5496419,291970,Success,0
4103558,875590,Success,0
8589182,102187,Success,0
9355190,170846,Success,1
8955173,146852,Success,0
6350367,604550,Success,0
3860454,424745,Success,0
3684656,574348,Success,0
7017865,495633,Success,0
3577164,974994,Success,0
1294219,974180,Success,1
8018930,239260,Success,0
2351461,245251,Success,0
7700274,767376,Success,0
6860108,898678,Success,0
2404503,799631,Success,1
3378336,256219,Success,0
3245147,863220,Success,0
1466020,193653,Success,0
7188870,755119,Success,0
3645228,753880,Failed,0
3531839,506045,Success,0
5795558,514603,Success,0
2963364,667273,Success,0
2196817,803011,Success,1
6411999,564620,Success,1
7887260,390848,Success,0
4663578,192830,Success,0
1705339,273659,Success,0
3544009,126008,Success,0
6330895,760717,Success,0
6298322,909076,Success,0
7748185,423850,Success,0
4902235,775192,Success,1
8313048,189288,Success,0
5099743,748758,Success,0
8772420,704876,Success,0
3586532,155442,Success,0
7855263,647098,Success,0
3891728,887017,Success,0
5977111,627054,Success,1
4017976,119570,Success,0
1717148,790229,Success,0
8238772,657695,Success,0
7324728,119895,Success,0
2275031,924974,Success,0
6624133,839893,Failed,0
5348804,707705,Success,0
9629731,188759,Success,0
1454123,659461,Success,0
6698254,435996,Success,0
2629001,717499,Success,0
4263701,615346,Success,0
4435348,124393,Success,0
2794644,558245,Success,1
4741911,535092,Success,0
1678596,653545,Success,0
1731644,500567,Success,0
5573659,195446,Success,0
9966292,204158,Success,0
4765638,276324,Success,0
3634592,251030,Success,0
2077639,367968,Success,0
2404386,193982,Success,0
3965879,421697,Success,0
3547452,811572,Success,0
2583118,161775,Success,0
3900709,441092,Success,0
2279588,128491,Success,0
7243023,161343,Success,0
5967272,508881,Success,1
9579227,435587,Success,0
2889999,532876,Success,0
7249336,439966,Success,0
3577881,493754,Success,0
8305474,967949,Success,1
7998722,226842,Success,0
9988988,312398,Success,0
9380278,888669,Success,0
7735438,714496,Success,0
5998842,616926,Failed,0
